variant,variant_label,label,baseline_best_feature_id,baseline_best_feature_corr_on_baseline,variant_best_feature_id,variant_best_feature_corr,same_best_feature,baseline_best_feature_corr_on_variant,baseline_best_feature_full_corr_on_variant,baseline_best_feature_rank_on_variant,top10_jaccard,top64_jaccard
a_comma,a + comma,resid_post.layer16,8109,0.5151471495628357,8109,0.5151471495628357,1,0.5151471495628357,0.23202820122241974,1,1.0,1.0
a_comma,a + comma,resid_post.layer31,13100,0.6177414655685425,13100,0.6177414655685425,1,0.617741584777832,0.6892982721328735,1,1.0,1.0
a_comma,a + comma,resid_post.layer40,10461,0.485476016998291,10461,0.485476016998291,1,0.48547598719596863,0.5592912435531616,1,1.0,1.0
a_comma,a + comma,resid_post.layer53,2853,0.5000674724578857,2853,0.5000674724578857,1,0.5000675320625305,-0.1986096054315567,1,1.0,1.0
a_pipe,a + pipe,resid_post.layer16,8109,0.5151471495628357,8109,0.5191294550895691,1,0.5191293954849243,0.290370374917984,1,0.25,0.47126436781609193
a_pipe,a + pipe,resid_post.layer31,13100,0.6177414655685425,11425,0.632543683052063,0,0.5920915007591248,0.5599043369293213,2,0.5384615384615384,0.7297297297297297
a_pipe,a + pipe,resid_post.layer40,10461,0.485476016998291,10461,0.48512572050094604,1,0.48512572050094604,0.5346081256866455,1,0.6666666666666666,0.620253164556962
a_pipe,a + pipe,resid_post.layer53,2853,0.5000674724578857,2853,0.5158249735832214,1,0.5158249735832214,-0.20376092195510864,1,0.5384615384615384,0.7297297297297297
a_section,a + section,resid_post.layer16,8109,0.5151471495628357,8109,0.49926599860191345,1,0.49926602840423584,0.24461045861244202,1,0.1111111111111111,0.4065934065934066
a_section,a + section,resid_post.layer31,13100,0.6177414655685425,13100,0.6099133491516113,1,0.6099133491516113,0.4531335234642029,1,0.42857142857142855,0.5058823529411764
a_section,a + section,resid_post.layer40,10461,0.485476016998291,5733,-0.5983940362930298,0,0.48287659883499146,0.4649203419685364,3,0.5384615384615384,0.47126436781609193
a_section,a + section,resid_post.layer53,2853,0.5000674724578857,2853,0.5103930830955505,1,0.510392963886261,-0.19163134694099426,1,0.3333333333333333,0.5421686746987951
a_space,a + space,resid_post.layer16,8109,0.5151471495628357,8109,0.5089094042778015,1,0.5089094042778015,0.4671775698661804,1,0.1111111111111111,0.09401709401709402
a_space,a + space,resid_post.layer31,13100,0.6177414655685425,4525,0.6292795538902283,0,0.5568888187408447,0.3190072178840637,4,0.17647058823529413,0.09401709401709402
a_space,a + space,resid_post.layer40,10461,0.485476016998291,10461,0.7793224453926086,1,0.7793224453926086,0.5509330034255981,1,0.3333333333333333,0.15315315315315314
a_space,a + space,resid_post.layer53,2853,0.5000674724578857,24736,0.758375346660614,0,0.662151038646698,-0.26972946524620056,7,0.17647058823529413,0.12280701754385964
aa_comma,aa + comma,resid_post.layer16,8109,0.5151471495628357,6348,-0.5146375894546509,0,0.49248963594436646,0.20275333523750305,2,0.3333333333333333,0.4883720930232558
aa_comma,aa + comma,resid_post.layer31,13100,0.6177414655685425,2825,0.5409798622131348,0,0.31983858346939087,0.36107027530670166,59,0.42857142857142855,0.5802469135802469
aa_comma,aa + comma,resid_post.layer40,10461,0.485476016998291,33516,-0.62078458070755,0,0.4765015244483948,0.5180899500846863,2,0.25,0.3617021276595745
aa_comma,aa + comma,resid_post.layer53,2853,0.5000674724578857,2853,0.5107930898666382,1,0.5107929706573486,-0.19881030917167664,1,0.25,0.3617021276595745
alpha_comma,alpha + comma,resid_post.layer16,8109,0.5151471495628357,8109,0.6344382166862488,1,0.6344382166862488,0.2515272796154022,1,0.3333333333333333,0.5238095238095238
alpha_comma,alpha + comma,resid_post.layer31,13100,0.6177414655685425,11425,0.6063321828842163,0,0.46741658449172974,0.6010095477104187,4,0.5384615384615384,0.6
alpha_comma,alpha + comma,resid_post.layer40,10461,0.485476016998291,10461,0.48270148038864136,1,0.48270148038864136,0.5611265301704407,1,0.42857142857142855,0.6
alpha_comma,alpha + comma,resid_post.layer53,2853,0.5000674724578857,2853,0.5003505349159241,1,0.5003505349159241,-0.19995719194412231,1,0.5384615384615384,0.47126436781609193
b_comma,b + comma,resid_post.layer16,8109,0.5151471495628357,6348,-0.5282424092292786,0,0.5082523226737976,0.2506868839263916,2,0.42857142857142855,0.5802469135802469
b_comma,b + comma,resid_post.layer31,13100,0.6177414655685425,13100,0.6139522790908813,1,0.6139523386955261,0.6312979459762573,1,1.0,0.7297297297297297
b_comma,b + comma,resid_post.layer40,10461,0.485476016998291,10461,0.48390838503837585,1,0.4839083254337311,0.5398023724555969,1,0.6666666666666666,0.620253164556962
b_comma,b + comma,resid_post.layer53,2853,0.5000674724578857,2853,0.49682536721229553,1,0.4968254268169403,-0.19737279415130615,1,0.5384615384615384,0.5802469135802469
beta_comma,beta + comma,resid_post.layer16,8109,0.5151471495628357,8109,0.5606904625892639,1,0.5606905221939087,0.28907132148742676,1,0.3333333333333333,0.4883720930232558
beta_comma,beta + comma,resid_post.layer31,13100,0.6177414655685425,11425,0.606270432472229,0,0.4930998980998993,0.615118682384491,4,0.42857142857142855,0.6
beta_comma,beta + comma,resid_post.layer40,10461,0.485476016998291,10461,0.4834809899330139,1,0.4834810197353363,0.5352926254272461,1,0.5384615384615384,0.5609756097560976
beta_comma,beta + comma,resid_post.layer53,2853,0.5000674724578857,2853,0.5037606954574585,1,0.5037607550621033,-0.20289844274520874,1,0.3333333333333333,0.47126436781609193
han_comma,han + comma,resid_post.layer16,8109,0.5151471495628357,4682,-0.5855205059051514,0,0.1589113175868988,0.09295903891324997,168,0.0,0.06666666666666667
han_comma,han + comma,resid_post.layer31,13100,0.6177414655685425,11425,0.643633246421814,0,0.3808252215385437,0.4876410961151123,16,0.05263157894736842,0.07563025210084033
han_comma,han + comma,resid_post.layer40,10461,0.485476016998291,1535,-0.6383704543113708,0,0.6294108629226685,0.5209764838218689,2,0.42857142857142855,0.12280701754385964
han_comma,han + comma,resid_post.layer53,2853,0.5000674724578857,2853,0.5686129331588745,1,0.5686129331588745,-0.21284231543540955,1,0.25,0.06666666666666667
x_comma,x + comma,resid_post.layer16,8109,0.5151471495628357,8109,0.6273791790008545,1,0.627379298210144,0.20723167061805725,1,0.3333333333333333,0.5421686746987951
x_comma,x + comma,resid_post.layer31,13100,0.6177414655685425,13100,0.6139485836029053,1,0.6139485239982605,0.6809701919555664,1,0.5384615384615384,0.6842105263157895
x_comma,x + comma,resid_post.layer40,10461,0.485476016998291,10461,0.4841817617416382,1,0.48418179154396057,0.5448321104049683,1,0.6666666666666666,0.5421686746987951
x_comma,x + comma,resid_post.layer53,2853,0.5000674724578857,2853,0.5075401067733765,1,0.5075400471687317,-0.19819822907447815,1,0.42857142857142855,0.5058823529411764
zhong_comma,zhong + comma,resid_post.layer16,8109,0.5151471495628357,6348,-0.5149218440055847,0,0.45074179768562317,0.16492658853530884,2,0.3333333333333333,0.43820224719101125
zhong_comma,zhong + comma,resid_post.layer31,13100,0.6177414655685425,11425,0.68060702085495,0,0.5006634593009949,0.41673898696899414,3,0.3333333333333333,0.6
zhong_comma,zhong + comma,resid_post.layer40,10461,0.485476016998291,3173,-0.5041722059249878,0,0.47989803552627563,0.572635293006897,2,0.3333333333333333,0.3617021276595745
zhong_comma,zhong + comma,resid_post.layer53,2853,0.5000674724578857,2853,0.5300160646438599,1,0.5300160646438599,-0.21168600022792816,1,0.25,0.31958762886597936
