model,cc,cc_lower_bound,cc_upper_bound,error_bar_lower,error_bar_upper,total_params_billion,active_params_billion,avg_output_tokens_at_cc,notes
anthropic/claude-3.5-haiku,144,144,160,14,16,,,5.0000,
anthropic/claude-3.7-sonnet,352,352,384,35,32,,,5.0000,
anthropic/claude-3.7-sonnet:thinking,352,352,384,35,32,,,956.7396,
claude-3-haiku-20240307,56,56,60,5,4,,,5.0000,
claude-haiku-4-5-20251001,176,176,192,17,16,,,5.0000,
claude-opus-4-1-20250805,1920,1920,2048,192,128,,,5.3958,
claude-opus-4-20250514,2176,2176,2304,217,128,,,5.3125,
claude-opus-4-5-20251101,1536,1536,1664,153,128,,,5.2143,
claude-opus-4-6,768,768,832,76,64,,,146.9375,
claude-sonnet-4-20250514,544,544,576,54,32,,,5.0000,
claude-sonnet-4-5-20250929,896,896,960,89,64,,,35.4375,
claude-sonnet-4-6,512,512,544,51,32,,,459.3125,
gemini-2.5-flash,72,72,80,7,8,,,2.0417,
gemini-2.5-flash-lite,56,56,60,5,4,,,2.0000,
gemini-2.5-pro,136,136,144,13,8,,,2.4844,
gemini-3-flash-preview,304,304,320,30,16,,,2.5417,
gemini-3-pro-preview,352,352,384,35,32,,,2.4271,
gemini-3.1-flash-lite-preview,128,128,136,12,8,,,2.3333,
gemini-3.1-pro-preview,352,352,384,35,32,,,2.3854,
google/gemini-2.0-flash-001,88,88,96,8,8,,,3.0781,
google/gemini-2.0-flash-lite-001,72,72,80,7,8,,,3.0000,
gpt-3.5-turbo,32,32,36,3,4,,,2.0000,
gpt-4,40,40,44,4,4,,,3.0000,
gpt-4-turbo,36,36,40,3,4,,,2.0000,
gpt-4.1,96,96,104,9,8,,,2.0000,
gpt-4.1-mini,72,72,80,7,8,,,2.0000,
gpt-4.1-nano,52,52,56,5,4,,,2.0000,
gpt-4o,88,88,96,8,8,,,2.0000,
gpt-4o-mini,36,36,40,3,4,,,2.0000,
gpt-5,112,112,120,11,8,,,3390.8594,
gpt-5-mini,64,64,68,6,4,,,1570.5625,
gpt-5-nano,48,48,52,4,4,,,2519.0625,
gpt-5.1,120,120,128,12,8,,,11.0000,
gpt-5.1-codex-max,44,44,48,4,4,,,4922.9583,
gpt-5.1-codex-mini,40,40,44,4,4,,,970.7188,
gpt-5.2,176,176,192,17,16,,,5.0000,
gpt-5.2-codex,128,128,136,12,8,,,1374.7292,
gpt-5.3-codex,272,272,288,27,16,,,5.0000,
gpt-5.4,608,608,640,60,32,,,5.0000,
gpt-5.4-mini,144,144,160,14,16,,,9.4062,
gpt-5.4-nano,48,48,52,4,4,,,5.0000,
o1,80,80,88,8,8,,,5516.1667,
o3,88,88,96,8,8,,,1279.1719,
o3-mini,48,48,52,4,4,,,2754.9375,
__notes__,,,,,,,,,"ladder_token_limit_models=claude-sonnet-4-6,gemini-2.5-flash,gemini-3-flash-preview,gemini-3.1-pro-preview,gpt-5.1-codex-max,gpt-5.1-codex-mini,gpt-5.2-codex,o1"
